year,rank,brand,value
2007,1,Coca-Cola,65324
2007,2,Microsoft,58709
2007,3,IBM,57090
2007,4,General Electric,51569
2007,5,Nokia,33696
2007,6,Toyota,32070
2007,7,Intel,30954
2007,8,McDonald's,29398
2007,9,Disney,29210
2007,10,Mercedes-Benz,23568
2007,11,Citigroup,23442
2007,12,HP,22197
2007,13,BMW,21612
2007,14,Marlboro,21282
2007,15,American Express,20827
2007,16,Gillette,20415
2007,17,Louis Vuitton,20321
2007,18,Cisco,19099
2007,19,Honda,17998
2007,20,Google,17837
2007,21,Berkshire Hathaway,16853
2007,22,Merrill Lynch,14343
2007,23,HSBC,13563
2007,24,Nescafé,12950
2007,25,Sony,12907
2007,26,Pepsi,12888
2007,27,Oracle,12448
2007,28,UPS,12013
2007,29,Nike,12003
2007,30,Budweiser,11652
2007,31,Dell EMC,11554
2007,32,J.P. Morgan,11433
2007,33,Apple,11037
2007,34,SAP,10850
2007,35,Goldman Sachs,10663
2007,36,Canon,10581
2007,37,Morgan Stanley,10340
2007,38,IKEA,10087
2007,39,UBS,9838
2007,40,Kellogg's,9341
2007,41,Ford,8982
2007,42,Philips,7741
2007,43,Siemens,7737
2007,44,Nintendo,7730
2007,45,Harley-Davidson,7718
2007,46,Gucci,7697
2007,47,AIG,7490
2007,48,eBay,7456
2007,49,ThyssenKrupp,7327
2007,50,Accenture,7296
2007,51,L'Oréal,7045
2007,52,MTV,6907
2007,53,Heinz,6544
2007,54,VW (Volkswagen),6511
2007,55,Yahoo!,6067
2007,56,Xerox,6050
2007,57,Colgate-Palmolive Company,6025
2007,58,Chanel,5830
2007,59,Wrigley,5777
2007,60,Kentucky Fried Chicken,5682
2007,61,GAP,5481
2007,62,Amazon,5411
2007,63,Nestlé,5314
2007,64,ZARA,5165
2007,65,AVON,5103
2007,66,Caterpillar,5059
2007,67,Danone,5019
2007,68,Audi,4866
2007,69,Adidas,4767
2007,70,Kleenex,4600
2007,71,Rolex,4589
2007,72,Hyundai ,4453
2007,73,Hermes Paris,4255
2007,74,Pizza Hut,4254
2007,75,Porsche,4235
2007,76,Thomson Reuters,4197
2007,77,Motorola,4149
2007,78,Panasonic,4135
2007,79,Tiffany & Co,4003
2007,80,Allianz,3957
2007,81,ING,3880
2007,82,Eastman Kodak,3874
2007,83,Cartier,3852
2007,84,BP,3794
2007,85,Moët et Chandon,3739
2007,86,Kraft Foods Group,3732
2007,87,Hennessy,3638
2007,88,Starbucks,3631
2007,89,Duracell,3605
2007,90,Johnson and Johnson,3445
2007,91,Smirnoff,3379
2007,92,Lexus,3354
2007,93,Shell,3331
2007,94,Prada,3286
2007,95,Burberry,3221
2007,96,Nivea,3116
2007,97,LG,3100
2007,98,Nissan,3072
2007,99,Ralph Lauren,3046
2007,100,Hertz,3026
2008,1,Coca-Cola,66667
2008,2,IBM,59031
2008,3,Microsoft,59007
2008,4,General Electric,53086
2008,5,Nokia,35942
2008,6,Toyota,34050
2008,7,Intel,31261
2008,8,McDonald's,31049
2008,9,Disney,29251
2008,10,Google,25590
2008,11,Mercedes-Benz,25577
2008,12,HP,23509
2008,13,BMW,23298
2008,14,Gillette,22689
2008,15,American Express,21940
2008,16,Louis Vuitton,21602
2008,17,Cisco,21306
2008,18,Marlboro,21300
2008,19,Citigroup,20174
2008,20,Honda,19079
2008,21,Berkshire Hathaway,17689
2008,22,H&M,13840
2008,23,Oracle,13831
2008,24,Apple,13724
2008,25,Sony,13583
2008,26,Pepsi,13249
2008,27,HSBC,13143
2008,28,Nescafé,13056
2008,29,Nike,12672
2008,30,UPS,12621
2008,31,SAP,12228
2008,32,Dell EMC,11695
2008,33,Budweiser,11438
2008,34,Merrill Lynch,11399
2008,35,IKEA,10913
2008,36,Canon,10876
2008,37,J.P. Morgan,10773
2008,38,Goldman Sachs,10331
2008,39,Kellogg's,9710
2008,40,Nintendo,8772
2008,41,UBS,8740
2008,42,Morgan Stanley,8696
2008,43,Philips,8325
2008,44,Thomson Reuters,8313
2008,45,Gucci,8254
2008,46,eBay,7991
2008,47,Accenture,7948
2008,48,Siemens,7943
2008,49,Ford,7896
2008,50,Harley-Davidson,7609
2008,51,L'Oréal,7508
2008,52,MTV,7193
2008,53,VW (Volkswagen),7047
2008,54,AIG,7022
2008,55,ThyssenKrupp,7001
2008,56,Heinz,6646
2008,57,Colgate-Palmolive Company,6437
2008,58,Amazon,6434
2008,59,Xerox,6393
2008,60,Chanel,6355
2008,61,Wrigley,6105
2008,62,ZARA,5955
2008,63,Nestlé,5592
2008,64,Kentucky Fried Chicken,5582
2008,65,Yahoo!,5496
2008,66,Danone,5408
2008,67,Audi,5407
2008,68,Caterpillar,5288
2008,69,AVON,5264
2008,70,Adidas,5072
2008,71,Rolex,4956
2008,72,Hyundai ,4846
2008,73,BlackBerry,4802
2008,74,Kleenex,4636
2008,75,Porsche,4603
2008,76,Hermes Paris,4575
2008,77,GAP,4357
2008,78,Panasonic,4281
2008,79,Cartier,4236
2008,80,Tiffany & Co,4208
2008,81,Pizza Hut,4097
2008,82,Allianz,4033
2008,83,Moët et Chandon,3951
2008,84,BP,3911
2008,85,Starbucks,3879
2008,86,ING,3768
2008,87,Motorola,3721
2008,88,Duracell,3682
2008,89,Smirnoff,3590
2008,90,Lexus,3588
2008,91,Prada,3585
2008,92,Johnson and Johnson,3582
2008,93,Ferrari,3527
2008,94,Giorgio Armani,3526
2008,95,Hennessy,3513
2008,96,Marriott International,3502
2008,97,Shell,3471
2008,98,Nivea,3401
2008,99,FedEx ,3359
2008,100,Visa,3338
2009,1,Coca-Cola,68734
2009,2,IBM,60211
2009,3,Microsoft,56647
2009,4,General Electric,47777
2009,5,Nokia,34864
2009,6,McDonald's,32275
2009,7,Google,31980
2009,8,Toyota,31330
2009,9,Intel,30636
2009,10,Disney,28447
2009,11,HP,24096
2009,12,Mercedes-Benz,23867
2009,13,Gillette,22841
2009,14,Cisco,22030
2009,15,BMW,21671
2009,16,Louis Vuitton,21120
2009,17,Marlboro,19010
2009,18,Honda,17803
2009,19,Samsung,17518
2009,20,Apple,15433
2009,21,H&M,15375
2009,22,American Express,14971
2009,23,Pepsi,13706
2009,24,Oracle,13699
2009,25,Nescafé,13317
2009,26,Nike,13179
2009,27,SAP,12106
2009,28,IKEA,12004
2009,29,Sony,11953
2009,30,Budweiser,11833
2009,31,UPS,11594
2009,32,HSBC,10510
2009,33,Canon,10441
2009,34,Kellogg's,10428
2009,35,Dell EMC,10291
2009,36,Citigroup,10254
2009,37,J.P. Morgan,9550
2009,38,Goldman Sachs,9248
2009,39,Nintendo,9210
2009,40,Thomson Reuters,8434
2009,41,Gucci,8182
2009,42,Philips,8121
2009,43,Amazon,7858
2009,44,L'Oréal,7748
2009,45,Accenture,7710
2009,46,eBay,7350
2009,47,Siemens,7308
2009,48,Heinz,7244
2009,49,Ford,7005
2009,50,ZARA,6789
2009,51,Wrigley,6731
2009,52,Colgate-Palmolive Company,6550
2009,53,AXA,6525
2009,54,MTV,6523
2009,55,VW (Volkswagen),6484
2009,56,Xerox,6431
2009,57,Morgan Stanley,6399
2009,58,Nestlé,6319
2009,59,Chanel,6040
2009,60,Danone,5960
2009,61,Kentucky Fried Chicken,5722
2009,62,Adidas,5397
2009,63,BlackBerry,5138
2009,64,Yahoo!,5111
2009,65,Audi,5010
2009,66,Caterpillar,5004
2009,67,AVON,4917
2009,68,Rolex,4609
2009,69,Hyundai ,4604
2009,70,Hermes Paris,4598
2009,71,Kleenex,4404
2009,72,UBS,4370
2009,73,Harley-Davidson,4337
2009,74,Porsche,4234
2009,75,Panasonic,4225
2009,76,Tiffany & Co,4000
2009,77,Cartier,3968
2009,78,GAP,3922
2009,79,Pizza Hut,3876
2009,80,Johnson and Johnson,3847
2009,81,Allianz,3831
2009,82,Moët et Chandon,3754
2009,83,BP,3716
2009,84,Smirnoff,3698
2009,85,Duracell,3563
2009,86,Nivea,3557
2009,87,Prada,3530
2009,88,Ferrari,3527
2009,89,Giorgio Armani,3303
2009,90,Starbucks,3263
2009,91,Lancôme,3235
2009,92,Shell,3228
2009,93,Burger King,3223
2009,94,Visa,3170
2009,95,Adobe,3161
2009,96,Lexus,3158
2009,97,Puma,3154
2009,98,Burberry,3095
2009,99,Ralph Lauren,3094
2009,100,Campbell's,3081
2010,1,Coca-Cola,70452
2010,2,IBM,64727
2010,3,Microsoft,60895
2010,4,Google,43557
2010,5,General Electric,42808
2010,6,McDonald's,33578
